,code,name
198,ACMD 604,ACMD 604 Supporting the Educational Enterprise in Academic Medicine
199,ACMD 605,ACMD 605 Faculty Development for Health Sciences Faculty Educators
200,ACMD 615,ACMD 615 Maintenance of Competence in the Health Professions
201,ACMD 621,ACMD 621 Capstone Portfolio for the Master of Academic Medicine
202,ADNT 701,ADNT 701 Research Methodologies in Dentistry
203,ADNT 702,ADNT 702 Physical Diagnosis
204,ADNT 703a,ADNT 703a Seminar: Combined Treatment Planning
205,ADNT 703b,ADNT 703b Seminar: Combined Treatment Planning
206,ADNT 703c,ADNT 703c Seminar: Combined Treatment Planning
207,ADNT 703d,ADNT 703d Seminar: Combined Treatment Planning
208,ADNT 703e,ADNT 703e Seminar: Combined Treatment Planning
209,ADNT 703f,ADNT 703f Seminar: Combined Treatment Planning
210,ADNT 703h,ADNT 703h Seminar: Combined Treatment Planning
211,ADNT 703i,ADNT 703i Seminar: Combined Treatment Planning
212,ADNT 703j,ADNT 703j Seminar: Combined Treatment Planning
213,ADNT 704a,ADNT 704a Oral Biology
214,ADNT 704b,ADNT 704b Oral Biology
215,ADNT 704c,ADNT 704c Oral Biology
216,ADNT 706,ADNT 706 Seminar: Diseases of Childhood
217,ADNT 707,ADNT 707 Behavior of the Child Patient
218,ADNT 710,ADNT 710 Internship: Dental Education
219,AEST 100a,AEST 100a Aerospace Studies I: Air Force Mission and Organization
220,AEST 100b,AEST 100b Aerospace Studies I: Air Force Mission and Organization
221,AEST 110a,AEST 110a Leadership Laboratory I
222,AEST 110b,AEST 110b Leadership Laboratory I
223,AEST 200a,AEST 200a Aerospace Studies II: Air Force History
224,AEST 200b,AEST 200b Aerospace Studies II: Air Force History
225,AEST 210a,AEST 210a Leadership Laboratory II
226,AEST 210b,AEST 210b Leadership Laboratory II
227,AEST 220a,AEST 220a Advanced Leadership Laboratory II
228,AEST 220b,AEST 220b Advanced Leadership Laboratory II
229,AEST 300a,AEST 300a Aerospace Studies III: Air Force Management and Leadership
230,AEST 300b,AEST 300b Aerospace Studies III: Air Force Management and Leadership
231,AEST 310a,AEST 310a Leadership Laboratory III
232,AEST 310b,AEST 310b Leadership Laboratory III
233,AEST 400a,AEST 400a Aerospace Studies IV: National Security Forces in Contemporary American Society
234,AEST 400b,AEST 400b Aerospace Studies IV: National Security Forces in Contemporary American Society
235,AEST 410a,AEST 410a Leadership Laboratory IV
236,AEST 410b,AEST 410b Leadership Laboratory IV
237,AEST 420a,AEST 420a Leadership Laboratory V
238,AEST 420b,AEST 420b Leadership Laboratory V
239,AHIS 100g,AHIS 100g Introduction to Visual Culture
240,AHIS 120gp,AHIS 120gp Foundations of Western Art: Prehistoric to Renaissance
241,AHIS 121gp,AHIS 121gp Foundations of Western Art: Renaissance to Contemporary
242,AHIS 125gp,AHIS 125gp Arts of Asia I: Antiquity to 1300
243,AHIS 126g,AHIS 126g Arts of Asia II: 1300 to the Present
244,AHIS 127g,AHIS 127g Arts of the Ancient Americas
245,AHIS 128gp,AHIS 128gp Arts of Latin America
246,AHIS 201g,AHIS 201g Digging into the Past
247,AHIS 215g,AHIS 215g Studies in Architecture and Urbanism
248,AHIS 220g,AHIS 220g Medieval Visual Culture
249,AHIS 230,AHIS 230 Art and Culture in Early Modern Europe
250,AHIS 240g,AHIS 240g Introduction to American Art
251,AHIS 250gm,"AHIS 250gm Art, Modernity and Difference"
252,AHIS 255g,AHIS 255g Culture Wars: Art and Social Conflict in the Modern World
253,AHIS 270,AHIS 270 L.A. Now: Contemporary Art in Los Angeles
254,AHIS 282,AHIS 282 Korean Art
255,AHIS 301,"AHIS 301 Guardians of the Past? Art Preservation, Ethics, and the Law"
256,AHIS 304gm,"AHIS 304gm Art, Power and Identity in Renaissance Italy"
257,AHIS 318,AHIS 318 Arts of the Ancient Andes
258,AHIS 319,AHIS 319 Mesoamerican Art and Culture
259,AHIS 320,AHIS 320 Aegean Archaeology
260,AHIS 321,AHIS 321 Greek Art and Archaeology
261,AHIS 322,AHIS 322 Roman Art and Archaeology
262,AHIS 324,AHIS 324 Late Antique Art and Archaeology
263,AHIS 325,AHIS 325 Roman Archaeological Excavation: Methods and Practice
264,AHIS 326,AHIS 326 Archaeology of Religion in the Greco-Roman World
265,AHIS 328,AHIS 328 Colonial Latin American Art
266,AHIS 330,AHIS 330 Medieval Art
267,AHIS 336,AHIS 336 Bodies of Knowledge: Art and Anatomy in Renaissance Europe
268,AHIS 343,AHIS 343 Renaissance Art
269,AHIS 344,AHIS 344 Baroque Art
270,AHIS 357,AHIS 357 History of French Art 1860–1920
271,AHIS 361,"AHIS 361 British Modernism, 1780-1918"
272,AHIS 363m,AHIS 363m Contemporary Art and the Culture Wars
273,AHIS 364,"AHIS 364 Myths, Arts, Realities: Visual Culture in California, 1849 to the Present"
274,AHIS 365m,AHIS 365m African American Art
275,AHIS 366g,"AHIS 366g Picturing Democracy: American Art and Visual Culture, 1750-1900"
276,AHIS 367g,"AHIS 367g Early American Modernism: American Art and Visual Culture, 1876-1939"
277,AHIS 368,AHIS 368 Modern Art I: 1700–1850
278,AHIS 369,AHIS 369 Modern Art II: 1851–1940
279,AHIS 370g,AHIS 370g Modern Art III: 1940 to the Present
280,AHIS 373g,AHIS 373g History and Theory of Photography
281,AHIS 376,AHIS 376 Introduction to African Art
282,AHIS 378,AHIS 378 Modern Russian Art
283,AHIS 381g,AHIS 381g Visual Cultures of Asia
284,AHIS 382,AHIS 382 Art and Cultural Heritage in East Asia
285,AHIS 384,AHIS 384 Early Chinese Art
286,AHIS 385,AHIS 385 Later Chinese Art
287,AHIS 386,AHIS 386 Early Japanese Art
288,AHIS 387,AHIS 387 Later Japanese Art
289,AHIS 390,AHIS 390 Special Problems
290,AHIS 400x,AHIS 400x Undergraduate Apprenticeship
291,AHIS 415,AHIS 415 Object-Worlds: Histories and Theories of Things
292,AHIS 420,AHIS 420 Studies in Ancient Art
293,AHIS 425,AHIS 425 Interdisciplinary Studies in Classical Art and Archaeology: Research and Methodology
294,AHIS 427,"AHIS 427 Archaeological Theories, Methods, and Practice"
295,AHIS 428,AHIS 428 Studies in Colonial Latin American Art
